fuel,measured,year,data
Utekočinjen naftni plin (UNP)  (1000 t),Proizvodnja,2000,
Utekočinjen naftni plin (UNP)  (1000 t),Sprememba zalog,2000,-1.000
Utekočinjen naftni plin (UNP)  (1000 t),Transformacija,2000,0.000
Utekočinjen naftni plin (UNP)  (1000 t),Uvoz,2000,93.000
Uvoženi lignit (1000 t),Izvoz,2000,
Uvoženi lignit (1000 t),Končna poraba - drugi porabniki,2000,
Uvoženi lignit (1000 t),Končna poraba - energetski sektor,2000,
Uvoženi lignit (1000 t),Končna poraba - gospodinjstva,2000,
Uvoženi lignit (1000 t),Končna poraba - kmetijstvo in gozdarstvo,2000,
Uvoženi lignit (1000 t),Končna poraba - predelovalne dejavnosti in gradbeništvo,2000,
Uvoženi lignit (1000 t),Končna poraba - promet,2000,
Uvoženi lignit (1000 t),"Končna poraba - promet, od tega železniški",2000,
Uvoženi lignit (1000 t),Končna poraba - skupaj,2000,
Uvoženi lignit (1000 t),Kurilnost,2000,
Uvoženi lignit (1000 t),Medn. pomorska skladišča,2000,
Uvoženi lignit (1000 t),Neenergetska raba,2000,
Uvoženi lignit (1000 t),Oskrba - skupaj,2000,
Uvoženi lignit (1000 t),Proizvodnja,2000,
Uvoženi lignit (1000 t),Sprememba zalog,2000,
Uvoženi lignit (1000 t),Transformacija,2000,
Uvoženi lignit (1000 t),Uvoz,2000,
Uvoženi rjavi premog (1000 t),Izvoz,2000,
Uvoženi rjavi premog (1000 t),Končna poraba - drugi porabniki,2000,
Uvoženi rjavi premog (1000 t),Končna poraba - energetski sektor,2000,
Uvoženi rjavi premog (1000 t),Končna poraba - gospodinjstva,2000,
Uvoženi rjavi premog (1000 t),Končna poraba - kmetijstvo in gozdarstvo,2000,
Uvoženi rjavi premog (1000 t),Končna poraba - predelovalne dejavnosti in gradbeništvo,2000,
Uvoženi rjavi premog (1000 t),Končna poraba - promet,2000,0.000
Uvoženi rjavi premog (1000 t),"Končna poraba - promet, od tega železniški",2000,0.000
Uvoženi rjavi premog (1000 t),Končna poraba - skupaj,2000,
Uvoženi rjavi premog (1000 t),Kurilnost,2000,
Uvoženi rjavi premog (1000 t),Medn. pomorska skladišča,2000,
Uvoženi rjavi premog (1000 t),Neenergetska raba,2000,
Uvoženi rjavi premog (1000 t),Oskrba - skupaj,2000,
Uvoženi rjavi premog (1000 t),Proizvodnja,2000,
Uvoženi rjavi premog (1000 t),Sprememba zalog,2000,
Uvoženi rjavi premog (1000 t),Transformacija,2000,
Uvoženi rjavi premog (1000 t),Uvoz,2000,
White spirit (1000 t),Izvoz,2000,0.000
White spirit (1000 t),Končna poraba - drugi porabniki,2000,
White spirit (1000 t),Končna poraba - energetski sektor,2000,
White spirit (1000 t),Končna poraba - gospodinjstva,2000,
White spirit (1000 t),Končna poraba - kmetijstvo in gozdarstvo,2000,
White spirit (1000 t),Končna poraba - predelovalne dejavnosti in gradbeništvo,2000,
White spirit (1000 t),Končna poraba - promet,2000,
White spirit (1000 t),"Končna poraba - promet, od tega železniški",2000,
White spirit (1000 t),Končna poraba - skupaj,2000,1.000
White spirit (1000 t),Kurilnost,2000,43600.000
White spirit (1000 t),Medn. pomorska skladišča,2000,
White spirit (1000 t),Neenergetska raba,2000,1.000
White spirit (1000 t),Oskrba - skupaj,2000,1.000
White spirit (1000 t),Proizvodnja,2000,
White spirit (1000 t),Sprememba zalog,2000,1.000
White spirit (1000 t),Transformacija,2000,
White spirit (1000 t),Uvoz,2000,0.000
Zemeljski plin (mio Sm3),Izvoz,2000,
Zemeljski plin (mio Sm3),Končna poraba - drugi porabniki,2000,23.000
Zemeljski plin (mio Sm3),Končna poraba - energetski sektor,2000,7.000
Zemeljski plin (mio Sm3),Končna poraba - gospodinjstva,2000,72.000
Zemeljski plin (mio Sm3),Končna poraba - kmetijstvo in gozdarstvo,2000,
Zemeljski plin (mio Sm3),Končna poraba - predelovalne dejavnosti in gradbeništvo,2000,604.000
Zemeljski plin (mio Sm3),Končna poraba - promet,2000,
Zemeljski plin (mio Sm3),"Končna poraba - promet, od tega železniški",2000,
Zemeljski plin (mio Sm3),Končna poraba - skupaj,2000,850.000
Zemeljski plin (mio Sm3),Kurilnost,2000,34076.000
Zemeljski plin (mio Sm3),Medn. pomorska skladišča,2000,
Zemeljski plin (mio Sm3),Neenergetska raba,2000,144.000
Zemeljski plin (mio Sm3),Oskrba - skupaj,2000,1014.000
Zemeljski plin (mio Sm3),Proizvodnja,2000,7.000
Zemeljski plin (mio Sm3),Sprememba zalog,2000,
Zemeljski plin (mio Sm3),Transformacija,2000,164.000
Zemeljski plin (mio Sm3),Uvoz,2000,1007.000
Črni premog in antracit (1000 t),Izvoz,2000,
Črni premog in antracit (1000 t),Končna poraba - drugi porabniki,2000,
Črni premog in antracit (1000 t),Končna poraba - energetski sektor,2000,
Črni premog in antracit (1000 t),Končna poraba - gospodinjstva,2000,
Črni premog in antracit (1000 t),Končna poraba - kmetijstvo in gozdarstvo,2000,
Črni premog in antracit (1000 t),Končna poraba - predelovalne dejavnosti in gradbeništvo,2000,
Črni premog in antracit (1000 t),Končna poraba - promet,2000,
Črni premog in antracit (1000 t),"Končna poraba - promet, od tega železniški",2000,
Črni premog in antracit (1000 t),Končna poraba - skupaj,2000,
Črni premog in antracit (1000 t),Kurilnost,2000,
Črni premog in antracit (1000 t),Medn. pomorska skladišča,2000,
Črni premog in antracit (1000 t),Neenergetska raba,2000,
Črni premog in antracit (1000 t),Oskrba - skupaj,2000,
Črni premog in antracit (1000 t),Proizvodnja,2000,
Črni premog in antracit (1000 t),Sprememba zalog,2000,
Črni premog in antracit (1000 t),Transformacija,2000,
Črni premog in antracit (1000 t),Uvoz,2000,
Biobencin (1000 t),Izvoz,2001,
Biobencin (1000 t),Končna poraba - drugi porabniki,2001,
Biobencin (1000 t),Končna poraba - energetski sektor,2001,
Biobencin (1000 t),Končna poraba - gospodinjstva,2001,
Biobencin (1000 t),Končna poraba - kmetijstvo in gozdarstvo,2001,
Biobencin (1000 t),Končna poraba - predelovalne dejavnosti in gradbeništvo,2001,
Biobencin (1000 t),Končna poraba - promet,2001,
Biobencin (1000 t),"Končna poraba - promet, od tega železniški",2001,
Biobencin (1000 t),Končna poraba - skupaj,2001,
Biobencin (1000 t),Kurilnost,2001,
Biobencin (1000 t),Medn. pomorska skladišča,2001,
Biobencin (1000 t),Neenergetska raba,2001,
Biobencin (1000 t),Oskrba - skupaj,2001,
Biobencin (1000 t),Proizvodnja,2001,
Biobencin (1000 t),Sprememba zalog,2001,
Biobencin (1000 t),Transformacija,2001,
Biobencin (1000 t),Uvoz,2001,
Biodizelsko gorivo (1000 t),Izvoz,2001,
Biodizelsko gorivo (1000 t),Končna poraba - drugi porabniki,2001,
Biodizelsko gorivo (1000 t),Končna poraba - energetski sektor,2001,
Biodizelsko gorivo (1000 t),Končna poraba - gospodinjstva,2001,
Biodizelsko gorivo (1000 t),Končna poraba - kmetijstvo in gozdarstvo,2001,
Biodizelsko gorivo (1000 t),Končna poraba - predelovalne dejavnosti in gradbeništvo,2001,
Biodizelsko gorivo (1000 t),Končna poraba - promet,2001,
Biodizelsko gorivo (1000 t),"Končna poraba - promet, od tega železniški",2001,
Biodizelsko gorivo (1000 t),Končna poraba - skupaj,2001,
Biodizelsko gorivo (1000 t),Kurilnost,2001,
Biodizelsko gorivo (1000 t),Medn. pomorska skladišča,2001,
Biodizelsko gorivo (1000 t),Neenergetska raba,2001,
Biodizelsko gorivo (1000 t),Oskrba - skupaj,2001,
Biodizelsko gorivo (1000 t),Proizvodnja,2001,
Biodizelsko gorivo (1000 t),Sprememba zalog,2001,
Biodizelsko gorivo (1000 t),Transformacija,2001,
Biodizelsko gorivo (1000 t),Uvoz,2001,
Dizelsko gorivo (1000 t),Izvoz,2001,-73.000
Dizelsko gorivo (1000 t),Končna poraba - drugi porabniki,2001,
Dizelsko gorivo (1000 t),Končna poraba - energetski sektor,2001,
Dizelsko gorivo (1000 t),Končna poraba - gospodinjstva,2001,
Dizelsko gorivo (1000 t),Končna poraba - kmetijstvo in gozdarstvo,2001,70.000
Dizelsko gorivo (1000 t),Končna poraba - predelovalne dejavnosti in gradbeništvo,2001,34.000
Dizelsko gorivo (1000 t),Končna poraba - promet,2001,399.000
Dizelsko gorivo (1000 t),"Končna poraba - promet, od tega železniški",2001,11.000
Dizelsko gorivo (1000 t),Končna poraba - skupaj,2001,503.000
Dizelsko gorivo (1000 t),Kurilnost,2001,42600.000
Dizelsko gorivo (1000 t),Medn. pomorska skladišča,2001,
Dizelsko gorivo (1000 t),Neenergetska raba,2001,
Dizelsko gorivo (1000 t),Oskrba - skupaj,2001,503.000
Dizelsko gorivo (1000 t),Proizvodnja,2001,
Dizelsko gorivo (1000 t),Sprememba zalog,2001,-6.000
Dizelsko gorivo (1000 t),Transformacija,2001,
Dizelsko gorivo (1000 t),Uvoz,2001,582.000
Domači lignit (1000 t),Izvoz,2001,
Domači lignit (1000 t),Končna poraba - drugi porabniki,2001,
Domači lignit (1000 t),Končna poraba - energetski sektor,2001,
Domači lignit (1000 t),Končna poraba - gospodinjstva,2001,27.000
