supply_and_consumption,year,energy_source,data
Končna poraba-Neenergetska raba,2013,Obnovljivi viri in odpadki,
Končna poraba-Neenergetska raba,2013,Surova nafta,
Končna poraba-Neenergetska raba,2013,Toplota,
Končna poraba-Neenergetska raba,2013,Trdna goriva,234.159828
Končna poraba-Neenergetska raba,2013,Zemeljski plin,180.3513599999999
Končna poraba-Predelovalne dejavnosti in gradbenitvo,2013,Električna energija,21160.566
Končna poraba-Predelovalne dejavnosti in gradbenitvo,2013,Energetski viri-SKUPAJ,50028.38619900001
Končna poraba-Predelovalne dejavnosti in gradbenitvo,2013,"Geoterm., sončna itd.",0
Končna poraba-Predelovalne dejavnosti in gradbenitvo,2013,Hidro energija,
Končna poraba-Predelovalne dejavnosti in gradbenitvo,2013,Naftni proizvodi,4791.513095
Končna poraba-Predelovalne dejavnosti in gradbenitvo,2013,Nuklearna energija,
Končna poraba-Predelovalne dejavnosti in gradbenitvo,2013,Obnovljivi viri in odpadki,3443.461
Končna poraba-Predelovalne dejavnosti in gradbenitvo,2013,Surova nafta,
Končna poraba-Predelovalne dejavnosti in gradbenitvo,2013,Toplota,2171.493
Končna poraba-Predelovalne dejavnosti in gradbenitvo,2013,Trdna goriva,1980.026544
Končna poraba-Predelovalne dejavnosti in gradbenitvo,2013,Zemeljski plin,16481.32656
Končna poraba-Promet,2013,Električna energija,553.3344000000001
Končna poraba-Promet,2013,Energetski viri-SKUPAJ,76782.084354
Končna poraba-Promet,2013,"Geoterm., sončna itd.",
Končna poraba-Promet,2013,Hidro energija,
Končna poraba-Promet,2013,Naftni proizvodi,73684.34156999999
Končna poraba-Promet,2013,Nuklearna energija,
Končna poraba-Promet,2013,Obnovljivi viri in odpadki,2507.713344
Končna poraba-Promet,2013,Surova nafta,
Končna poraba-Promet,2013,Toplota,
Končna poraba-Promet,2013,Trdna goriva,3.024
Končna poraba-Promet,2013,Zemeljski plin,33.67104
Lastna raba in izgube,2013,Električna energija,-8016.426
Lastna raba in izgube,2013,Energetski viri-SKUPAJ,-9701.007
Lastna raba in izgube,2013,"Geoterm., sončna itd.",
Lastna raba in izgube,2013,Hidro energija,
Lastna raba in izgube,2013,Naftni proizvodi,
Lastna raba in izgube,2013,Nuklearna energija,
Lastna raba in izgube,2013,Obnovljivi viri in odpadki,
Lastna raba in izgube,2013,Surova nafta,
Lastna raba in izgube,2013,Toplota,-1684.581
Lastna raba in izgube,2013,Trdna goriva,
Lastna raba in izgube,2013,Zemeljski plin,
Medn. pomorska skladiča,2013,Električna energija,
Medn. pomorska skladiča,2013,Energetski viri-SKUPAJ,-2506.1816
Medn. pomorska skladiča,2013,"Geoterm., sončna itd.",
Medn. pomorska skladiča,2013,Hidro energija,
Medn. pomorska skladiča,2013,Naftni proizvodi,-2506.1816
Medn. pomorska skladiča,2013,Nuklearna energija,
Medn. pomorska skladiča,2013,Obnovljivi viri in odpadki,0
Medn. pomorska skladiča,2013,Surova nafta,
Medn. pomorska skladiča,2013,Toplota,
Medn. pomorska skladiča,2013,Trdna goriva,
Medn. pomorska skladiča,2013,Zemeljski plin,
Oskrba z energijo,2013,Električna energija,-4641.368399999999
Oskrba z energijo,2013,Energetski viri-SKUPAJ,286549.5223441818
Oskrba z energijo,2013,"Geoterm., sončna itd.",2700.526
Oskrba z energijo,2013,Hidro energija,16666.0452
Oskrba z energijo,2013,Naftni proizvodi,95503.61622799998
Oskrba z energijo,2013,Nuklearna energija,57813.98181818183
Oskrba z energijo,2013,Obnovljivi viri in odpadki,32786.398644
Oskrba z energijo,2013,Surova nafta,0.000000000000001
Oskrba z energijo,2013,Toplota,0
Oskrba z energijo,2013,Trdna goriva,56755.79901400001
Oskrba z energijo,2013,Zemeljski plin,28964.52384
Reklasifikacije,2013,Električna energija,
Reklasifikacije,2013,Energetski viri-SKUPAJ,
Reklasifikacije,2013,"Geoterm., sončna itd.",
Reklasifikacije,2013,Hidro energija,
Reklasifikacije,2013,Naftni proizvodi,
Reklasifikacije,2013,Nuklearna energija,
Reklasifikacije,2013,Obnovljivi viri in odpadki,
Reklasifikacije,2013,Surova nafta,
Reklasifikacije,2013,Toplota,
Reklasifikacije,2013,Trdna goriva,
Reklasifikacije,2013,Zemeljski plin,
Spremembe zalog,2013,Električna energija,
Spremembe zalog,2013,Energetski viri-SKUPAJ,3266.82549853624
Spremembe zalog,2013,"Geoterm., sončna itd.",
Spremembe zalog,2013,Hidro energija,
Spremembe zalog,2013,Naftni proizvodi,2725.561153999997
Spremembe zalog,2013,Nuklearna energija,
Spremembe zalog,2013,Obnovljivi viri in odpadki,11.4759
Spremembe zalog,2013,Surova nafta,0.2885
Spremembe zalog,2013,Toplota,
Spremembe zalog,2013,Trdna goriva,529.4999445362433
Spremembe zalog,2013,Zemeljski plin,
Statistične razlike,2013,Električna energija,-1.422000000005937
Statistične razlike,2013,Energetski viri-SKUPAJ,865.3968379998696
Statistične razlike,2013,"Geoterm., sončna itd.",-0.009000000000015
Statistične razlike,2013,Hidro energija,-0.003600000003644
Statistične razlike,2013,Naftni proizvodi,-0.031899000023259
Statistične razlike,2013,Nuklearna energija,0
Statistične razlike,2013,Obnovljivi viri in odpadki,0.001000000003842
Statistične razlike,2013,Surova nafta,0.000000000000001
Statistične razlike,2013,Toplota,0.000999999998385
Statistične razlike,2013,Trdna goriva,866.8613370000094
Statistične razlike,2013,Zemeljski plin,0
Transformacija-elektrarne-male HE,2013,Električna energija,269.4348
Transformacija-elektrarne-male HE,2013,Energetski viri-SKUPAJ,0
Transformacija-elektrarne-male HE,2013,"Geoterm., sončna itd.",
Transformacija-elektrarne-male HE,2013,Hidro energija,-269.4348
Transformacija-elektrarne-male HE,2013,Naftni proizvodi,
Transformacija-elektrarne-male HE,2013,Nuklearna energija,
Transformacija-elektrarne-male HE,2013,Obnovljivi viri in odpadki,
Transformacija-elektrarne-male HE,2013,Surova nafta,
Transformacija-elektrarne-male HE,2013,Toplota,
Transformacija-elektrarne-male HE,2013,Trdna goriva,
Transformacija-elektrarne-male HE,2013,Zemeljski plin,
Transformacija-elektrarne-proizvajalci po glavni dejavnosti,2013,Električna energija,38003.814
Transformacija-elektrarne-proizvajalci po glavni dejavnosti,2013,Energetski viri-SKUPAJ,-41666.98211318185
