Year,1,2,3,4,5,6,7,8,9,10,11,12
1956,274.51286145534465,264.2733049637232,274.97921853897685,280.6761901855469,287.2532810813834,288.74904832106375,292.4163154747192,291.5145954040578,288.62563745221524,282.1392870730265,274.95782191610743,272.378164311891
1957,270.13615259717966,276.77540898585056,279.3918314666369,281.89593581501236,284.1247983669032,291.8040229992988,292.74893014306764,290.4474958572829,287.00012885199646,282.1730216683387,278.6519769652277,274.38205185756885
1958,271.0050409031466,275.71668833079354,273.57767591957617,279.7571422870343,289.8427156080777,289.8861648689987,292.84195266862463,292.2274382964356,288.15618160932496,283.4108336190727,278.6177302694729,275.63250217485074
1959,272.6791440649797,271.84810507079186,280.32374308975005,283.05301581488715,286.5840504837983,289.7759532961071,293.163098886646,291.1817781181745,286.8520027617104,281.4735018065195,277.9861637474125,276.4566228091963
1960,272.1115146633807,273.5305669316442,278.1490941706326,282.3599978194278,286.55630061525864,290.9178805098574,290.5043422298258,291.52039631858554,286.7268366626185,284.24653962468983,279.8098869128105,275.9508088193125
1961,270.7086427245286,275.9450533521045,280.22060654910763,285.66771568885207,285.88748524857516,291.3066535623665,290.9710218304933,291.2950037348063,289.8035480988332,284.67417626266547,278.5317719027527,271.59603547379436
1962,272.4199919972763,272.7567732814467,274.3702009656983,282.5875043820112,285.49533818121085,288.1925472422543,290.49002549744915,292.99348006709926,287.14590605385285,283.1158926611207,276.8830076559996,269.25210359256266
1963,266.48910309166035,268.5311844934037,275.09153498924894,282.91372868464543,286.56836737671404,290.57054842435394,293.0795234320478,291.91040649918904,288.7852134248131,282.4365509007961,281.9144781650641,269.1825689247958
1964,266.41008309868374,272.17619348882323,275.1475900755725,282.7152030749199,286.7542929826835,291.64892672025246,291.96837391944047,290.6106323797511,287.85328066573186,282.2547938344496,278.50263731866823,273.0881555650331
1965,272.92726550484804,269.35037988795466,277.18441254999937,280.4572618011735,285.17615735580154,289.92984976483206,291.24529178641467,289.71377856283766,287.55769817645734,281.8085487435139,275.8795088287092,274.21314226249905
1966,268.85245543575365,278.66746722210894,277.02428055756144,283.98562692495494,286.93388804647924,290.876928815271,290.739496753273,290.3477786484585,288.7395326272035,286.74104996926536,275.87419676169367,273.6244581552258
1967,270.761961956671,274.18768891834077,279.26803182470985,281.2233738043369,287.40617795933167,289.41139315091647,293.39488499138946,291.5619413692958,288.77637759477665,284.6701848713991,278.47290132962735,271.3489512908153
1968,269.4479695612779,275.62347705547626,278.6922116717393,284.26256473899906,286.756590888163,289.8646353436332,291.4920525562674,289.9485352471212,287.4563780694945,283.62066960867224,278.0878395276192,270.23636328710614
1969,270.84558272065954,272.2378866174719,275.7259295568474,281.3904394166083,288.55911421480016,289.20510540823653,291.9508512763567,290.29019642112866,288.1788714286609,283.1596560292839,279.9846311389891,269.8044011799928
1970,272.3080186615116,272.9735733982408,275.60961391553093,280.4819689367571,284.72452380461965,291.2374430599376,291.63446481608474,291.6582561332002,288.25170337644397,281.9988044883911,280.1983874198717,272.9852313348535
1971,272.56153661382405,274.99060092129554,274.878186171463,283.3260084885817,287.8592605275295,288.9980307815421,292.6886575223987,293.070802119076,285.9442624605619,281.9336841416024,277.1129765176366,273.3943526628493
1972,270.6979063174466,275.3911578279712,279.70786736601144,282.15962091429617,286.0407055522707,290.41595560709635,291.95598936120376,290.8466164310478,284.95943645249065,281.2029078935571,277.49535572019397,273.07156611869317
1973,271.92980734901647,273.40568000318365,277.05362069734963,279.9138271494809,287.506833640478,290.27557388696914,291.7106427239228,291.6171983035761,288.5415070884248,281.27964738541345,275.9656874175765,272.68537409350927
1974,274.325921146213,277.7049558311155,279.13747467217706,281.4818720108423,285.83888518504614,288.39207448062734,291.5591330958162,292.58279285162706,287.73072196764826,278.7747814598115,278.3640973735059,275.74272414492225
1975,276.3377732749415,274.1533461909591,278.3676219400638,281.93082658816604,287.68289444562913,288.980213654347,292.04563960603093,291.13267793489746,290.0818751408504,282.07336637814046,276.8426415337457,274.1463881524956
1976,273.5719167048326,272.61766968891294,274.4568293392411,281.7494159144214,286.80077021924603,290.1365933410123,292.43925449570116,288.5559198901711,286.5240465213091,283.2953425076897,279.0692885961288,272.42366884797934
1977,274.26204606301536,276.81314380352313,280.731947300156,280.4902826292902,286.4435789299169,290.22671707022903,291.335690103157,290.7098140290595,285.7107678274823,284.0974578731212,278.05809331388554,272.06283917675535
1978,272.84988054980715,272.7303735362741,278.8868600799585,280.6481472178402,284.7312980506714,289.3561175484943,290.4674030111485,289.84308684217325,287.15026052100023,282.5582293564865,274.9215241782686,273.02657144576483
1979,269.72913131524547,273.58371080671037,278.8862042170699,280.86252475314666,287.02609914270084,291.69045261480875,290.6474883503121,290.09666943924793,287.6632750421507,281.6492623328374,277.18010248689563,275.8108753491474
1980,270.4516359491719,275.1592230325217,277.4307767175464,279.8562200823401,284.51920133705863,289.16264100686107,290.444816949054,291.8017354480879,287.8067160321097,282.49824643825275,275.20046657986114,271.0961206276817
1981,269.12867225665906,272.09179033551897,279.410163999294,282.5926169631828,286.40895425119703,290.393897006043,291.37642725841187,291.29765790587516,288.58408145741515,284.6057879603333,277.2166232638889,272.9352855698149
1982,270.9332436182166,271.8002447330908,276.99476001319846,280.2947891626602,287.00492420938025,290.98987836267196,292.7201289704657,291.69898483238495,290.40027202377973,283.75919826056366,278.8912133110894,275.7906524683445
1983,274.5340162960333,271.2789797381167,278.23638088078025,283.83647951305426,287.5113909826286,290.30730288252863,294.9686065749554,292.16527252575895,288.43258163582567,282.9903747205206,275.1640912699903,273.5247798695655
1984,271.8769367176999,272.37729387667594,276.32582032966457,281.32713432638053,284.95567595653046,289.1008832621779,290.81286709440747,290.79604774393056,287.42550226195243,284.2263003618289,277.9857080704126,274.042472997118
1985,267.3763517091055,269.69166766156206,276.70086727978475,281.8350150866387,287.50476129751155,288.5541014842498,292.6478489322836,292.0798046279289,288.917477729993,282.5580479169898,275.27887171557825,276.336181362963
1986,272.3044557279551,269.0899364205944,275.4147106640787,282.434858455821,289.47590020040127,289.62187346107936,291.4350056360338,292.28392343071494,287.34349482609673,282.9399958280023,278.36066406771664,271.7118184458036
1987,269.0034439175261,272.78057987087374,272.86962612963003,282.6212667611929,285.3973863473897,289.8104626777844,293.3990103671924,290.7424148546949,290.7043752556173,283.85860352875085,277.62062743097283,274.152103875273
1988,276.2829126653048,275.66012036669383,277.1086844546032,282.0463420118022,287.29996600912267,289.45133575700294,293.4551690214424,292.39976442146144,287.8213801979,283.70967575338284,273.8726114387186,273.84822548234433
1989,272.843990354325,276.7172114333827,280.88769001168,283.11638783511955,286.66731854131933,288.6977302746895,292.269518427064,291.52352885079847,287.7912362123147,282.8233840222985,276.2554323636569,275.21814356094757
1990,273.0080818826251,278.36631777697,280.9977482621387,281.58431297367457,288.04626649110344,289.5295527009883,291.68600966182987,291.8529576505877,286.6166189079611,283.8080627845278,277.9921151707315,272.78700255085556
1991,273.1827061907923,270.89156320592866,280.27128193415916,280.8093225984492,283.5946011350015,289.6424961709569,293.4271836450417,292.4629438098943,289.3620529566056,281.41359055032416,277.40475836859804,271.24481587374476
1992,273.3588175304278,275.4482170915429,278.24122017607203,282.478566148546,287.7667628336386,290.23157296466013,292.88638987198067,295.77924091348575,288.72604492709166,282.0721272735974,279.2939770299145,273.301246636756
1993,273.6604416108112,273.52396630367514,277.4008038365416,282.97567449064337,289.03258108639136,290.8555887597239,291.8338091197933,292.8227820258381,287.51514483068746,283.8487384250285,274.76508423894904,274.81101496264984
1994,276.0867184369992,274.63146262815144,281.96277244195545,282.06726987137756,287.4090919210656,291.0206322303185,294.52689807724613,293.91041147186303,289.7051645914714,281.65686454173454,280.62698820717316,275.04169609883877
1995,273.3390799523188,277.36416885879015,277.1216535165943,282.86404288528314,286.8547795676712,289.1713131374783,294.48146856038204,291.15544682479873,286.73851112300514,284.58121891195265,277.3917694091797,273.6361059247215
1996,271.742438758869,270.54193355574273,274.6488293820516,282.2281683766944,287.92067683798103,291.38623847635387,290.8939055008174,291.3782649517454,285.1908023149538,283.31845860130244,279.72693726629274,271.62698624250413
1997,272.55477312086435,276.06916515643786,279.27647991827246,279.9985511975411,288.08671088964115,290.8509896563668,291.65151836183867,291.921869522486,288.52508411896537,281.55896940144555,278.1730517265124,274.86350782219284
1998,275.6461634482107,277.719228108724,277.4536662389662,283.1425583798661,287.3658896573227,291.76326505220857,292.9560225039498,293.119143805492,287.5354270217765,283.6196382205481,275.65794701209427,270.1936335788471
1999,273.21172951823723,272.64678038432925,279.3975716236705,283.42759394197384,288.0871782957571,290.8311304336939,292.7417242840561,291.9267156331178,289.91482830862714,283.90529736691605,275.56875957260786,272.8487247438644
2000,270.0413766360855,275.97501870738716,279.0082274279977,285.262779535799,288.527579762701,292.1993160671658,291.13895370193114,293.5845043602022,288.28139917096524,285.0348069259605,281.13507687821345,276.62937865403194
2001,275.3968188062593,276.413322197212,280.8411594640134,281.8225559593266,289.2570215671688,289.77404980781745,293.0921740914495,294.07626741597034,286.07923941326953,286.22452327453766,276.2143809261485,270.202148260806
2002,272.3346469270187,277.39549258165744,280.4331549430702,281.9783651237813,288.87721546510704,292.6355621077056,293.16019037718416,292.21862222499544,286.9218257284572,283.7061439432124,281.5720149896084,274.66747627857796
2003,271.4573224921972,270.3081832159133,278.817134784607,281.7689259586171,289.92459697108114,294.8696873591496,294.0642395271951,295.92333227114995,287.4600510556474,281.01355775591753,280.164244118715,274.470951354829
2004,271.7795746884531,274.4585972321339,276.70210002334375,282.70674167209205,285.73795971740265,290.35071364182687,292.32600502537935,292.35915413249904,287.73945111657815,285.1813134886786,278.38889332306684,274.204856853627
2005,272.43802970337214,271.32148499541233,276.68246565977336,282.53158204168335,288.0082115507796,291.3075894608457,292.58261025099836,290.3253143790145,288.47172679412057,283.72497073947346,277.33953946105436,272.8829398458906
