Day_of_year,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
300,273.4176193069626,283.9087788229023,283.2027776808966,279.88321828318163,284.25871014158366,274.53419589647007,276.01603547819366,284.3485844091618,282.7531550480769,274.9543612413791,281.7402771890381,283.72700964400184,284.65345792106655,281.72252870217346,279.0487573644617,280.45020950932206,281.4617562206674,279.7684602283296,282.45397401467346,285.8919963906536,283.8157078110691,280.0391884828225,279.7469417585994,280.9550149659097,279.01645243997535,283.5476410694611,282.71778662824806,280.79187268826547,282.1521769652873,279.86285366854827,279.8666834569239,282.82873490441847,275.9473375033983,278.19129468757154,281.5785495632297,279.1419788402515,283.3076003078139,280.07130672468804,276.71496280209044,281.463380918398,280.11551663465116,283.6570864946414,279.54200683146604,283.07169730497367,276.782227792146,279.62412359775635,281.0559620839772,279.5818134908711,284.2329381027501,280.3500273428557,275.0121704772278,281.167725839021,279.29039800734745,282.20831623007524,280.69461864429513,280.54169807853276,275.0008049709893,281.84548748980507,286.87595711173594,283.0226621523008,282.5820938501603,283.81896726727047,275.07943054869935,287.24571490724446,284.8923927838112,287.16181235959675,280.31629368149754,283.6558321439303,282.6421651875143,278.89847483652414,282.0088844159584,279.0840615073403,287.7345984602149,279.66916105948087,282.2981802133413,284.0635263072702,282.20201228215143,285.8485682001917,283.9757641243847,284.4419301909841,278.78405415182146,286.8507764208448,
301,273.09376553825405,284.2628452175266,282.53396751767116,279.97469332628634,284.41345103057745,274.3982767517313,276.0286875295115,284.1896794916509,281.69153390961253,274.5851122957446,281.62410258198827,282.79998220366866,284.07798101963135,281.2408595941005,278.13599169385304,279.95614165700835,281.6286139296088,279.7582493596898,282.12170790228646,285.30670356051826,283.93536488739124,279.7055947998941,279.5112671345581,280.7762361743074,279.6385566236335,281.664797492953,282.52292663797795,281.6615615118117,281.6597645518544,280.72210805145374,278.27591736063414,283.0193179623111,276.1863249055632,277.54827020107166,281.23337630387186,280.05202330425107,283.15179655752775,280.10980805896577,276.9988265823532,280.76242982074893,280.83783070770374,282.82639645307495,280.25204635452434,282.47983414087537,276.7956879444611,279.8418307461581,279.8433382921603,278.5852513575292,284.23793337196656,281.3121021536243,274.2921847947788,281.28245751237694,278.57829212007067,282.51880587064295,281.49917513110256,280.498542086982,274.46193038325606,281.5819446158496,286.72589647900924,283.9750375153817,282.8516349373283,283.88729377718636,276.0917541727478,287.1532497755337,284.11517781128373,285.7248548570569,280.8519397777515,284.0767057649382,281.5876901927012,278.9419560135502,282.0382519397107,278.40783166012045,287.0598828661573,279.20599946521577,282.2519193656278,283.19635512802625,281.42164662120103,285.70047902536913,282.7280761942322,284.1325989887391,279.02105053353216,286.44849269992704,
302,272.5390088427198,284.3732240558107,281.76294593671304,279.9381946382068,284.26669959882236,275.1700491992545,276.4778330596812,283.8335229223901,280.06268534118874,274.53009826883726,281.6437067164606,281.6873867607815,283.47289893740697,280.79596595624423,277.2931720887348,279.2358987549722,281.76213917714773,279.46605472774297,281.64323598561265,284.67648762573685,283.6117150163476,279.51354343288546,279.68291621505125,280.76559671814186,280.628657414363,279.8563896430718,281.92530247056004,282.6631713420044,281.39659012455644,281.44244004693223,276.9754270895933,282.95721972119674,276.2967539357615,276.9688328334263,281.1233358418112,280.3778535612337,282.9471623347356,279.7120442931905,277.16053922883754,279.6711261455829,281.6765616280692,282.152583530971,280.67362713377116,281.7532733176654,277.51371949583614,279.8381269406049,278.58080093327897,277.57752224988553,284.26723561269455,281.54493808397,273.70235434731285,281.18133310171277,278.1464279230697,282.91709055918034,282.2028312263908,280.6586640186799,274.3832574082818,281.6916136130308,285.9740796211438,283.99913745922044,282.82536053220866,283.9632080972413,278.141593849266,287.1539968413748,283.4189212785099,284.8225474375071,280.73632488320595,284.52269166380495,280.37436773838147,279.66213933364816,281.78346269209305,277.87985251849386,286.37937508048594,279.2757736038376,281.8861452878176,281.9281685518258,281.03326919052625,285.7225046681834,281.65997526846525,283.6154974074591,279.6011253049522,286.3962713108831,
303,272.50550769624255,284.332767696171,280.78941350804143,280.3388434888679,284.291263007419,276.0659952128763,277.40346876430857,283.03901241987177,278.2009850805932,274.7717517671131,280.9923437768286,280.26295689174106,282.49714755662626,280.99633878491295,276.6989440917969,278.3810590247968,282.01500324626545,279.1583836593907,281.27050658285395,284.60250474419786,282.9351122510302,279.4116557474101,280.2332448435354,280.71923291552196,281.9169015290536,278.38642307602873,281.4736648950821,283.5836154811984,281.2479728726677,282.0398513738052,276.49620061741643,282.8362632444053,276.06272692558093,276.48376543093946,281.4784242958376,280.61741833809094,282.6966842260116,279.5617218576508,277.94589088076634,278.46220638289117,282.14636778220154,281.5909992818867,280.6535088954828,280.613047170115,277.9037381685697,280.1827789418426,278.0008066477793,277.6175494630695,284.39461833129434,281.4249892461867,273.797852792146,281.0585681510059,278.21097506009613,283.03967162191645,282.18338202731513,281.31175394023296,274.2732215294471,281.5566625350561,285.19167118282104,283.5283046624599,282.4735411479796,283.4170166686341,279.4486938029418,287.0014499762119,282.98869463462967,283.08378349555716,280.67943374577897,285.08317347935264,279.21992844801684,280.6085037399124,281.26455084832156,277.6253644223615,285.961176610255,279.3279455834693,281.1676580967047,281.37890859750604,280.6836417061942,285.9241338597112,281.1084990449004,283.3017838586381,280.0875513544886,286.45997256324404,
304,272.7665509234418,283.9797097230569,279.8184358366243,280.8813276465559,284.3277519701165,276.78255387190933,278.4113065279447,282.3805990254049,276.4852028871194,275.28443746601704,280.52258602603445,279.7293456360534,281.01739982632927,281.46620709206155,276.035897726541,277.380385067,282.0951168074276,278.6538753299923,280.6381329546918,284.3398254170959,282.0881840632512,279.17611638442935,281.14711026481655,280.3543673225375,282.6097035390553,277.5299542884687,281.36979937990066,284.16467151013046,281.07724278488433,282.5784255925552,276.58890430045216,282.43866145654476,275.97801392942995,276.3390726501688,281.69326648083364,281.01124466557206,282.7597447210179,279.65291408217433,278.44579463301994,277.47243200728303,282.7416255517757,280.9966484321343,280.34814061874,279.65899088094517,278.14847662510016,280.139646313566,277.8411144214672,277.59420921688985,284.6496513841789,281.15205958998683,274.50382028656566,281.5780777145218,278.7533247392256,283.33821949941336,281.80909879915004,281.72930516952124,274.74067056397377,281.92862687442766,284.71422546163143,283.77979544056205,282.05721274575035,282.845220097692,280.083260337075,286.76346518268514,282.60819431626317,281.05231126498825,280.5205855037703,285.5208352336953,277.9969144828154,281.69794930817875,280.93606567382807,277.2887854942909,285.6885968442365,279.63117394080524,280.5375476879078,280.88367056933953,280.5923080723801,285.8044028928428,281.28966077867443,283.46566202352335,280.36517825842776,286.38730104327635,
305,273.404543139559,283.5743113088083,278.91251482282365,280.9426580296331,284.27950557946286,276.852557060046,279.31930687313985,281.80478184738433,275.9117410401285,275.6959657773867,280.04435456104767,279.42825909848614,279.7738144423935,281.3541286594265,275.31942570165836,276.5220870133284,282.18314101669813,278.60524719014705,279.7114089015639,284.1658960139795,280.81832516848385,278.72167242141,282.379639119019,279.706304193853,282.70906854985833,277.6601313217219,281.10307395851214,284.569832155556,281.0850503663003,283.07482284154645,277.2169785272507,281.8101846883585,276.06313170268857,276.2748162685296,281.49909464518225,281.624029473944,283.0454840467963,279.8548151372553,278.2559664659884,276.02184432592145,283.0088314293942,280.2435898553757,280.3305471790579,278.86912933461394,278.44871124155793,279.38468502729364,277.55255328167925,276.5843993246337,284.87549945985,280.6613086518787,275.9070193112551,281.16016988789204,279.51942169971954,283.5897761194698,281.0008388421474,281.86866978236606,275.1796491574018,281.987797551976,284.3593971336281,283.945080208691,281.3782849434094,282.2419849437672,280.96767193581155,286.5045376173306,282.3932381095467,279.10289521269743,280.4793942629636,285.34644974369706,277.06296849512796,282.7526565943009,281.219742547898,278.758784926418,284.63108641236687,280.79104312435607,280.2908925486135,280.3725079546918,280.6648130312071,285.7615272605812,281.29807558164487,283.55444022936695,281.0158028515267,286.1120486975589,
306,273.6829972599016,283.5580627664978,277.8032479198861,280.90236398326607,283.7423323746566,277.0019160120478,279.71072309445105,281.6918260064317,275.75922044467575,275.74930312607313,279.777098715087,278.6209448510474,278.936285109747,280.7733847370078,275.8326014703883,275.81303679637415,282.28038611778845,278.6521228608631,278.9267939193781,283.81700944725844,279.5665533603766,278.92596044295874,283.5984034276271,279.2872390467605,282.17515726054546,277.9965118296417,281.15213593982514,284.59024998032567,281.0358496585608,283.1979522146148,278.0333522475246,281.5271323626731,276.7517775091933,276.45073903960616,281.29705497546075,282.0093545878763,283.18930076068136,279.42329267005783,277.8113524049193,274.7046873211424,283.36280269413203,279.5343326107486,280.2271760933565,278.31847227886044,279.09459420787545,278.75863714532534,277.48123571374913,275.18844168526783,284.5250681223887,279.732423216432,276.6785467238653,281.1098840734461,280.10170424464854,283.79146835830187,279.81210886078435,281.7186697376517,275.9229770981785,280.7236531575521,283.9222540663275,283.51103573753716,280.75338208544383,281.7978161263378,281.4747980697687,285.99427398569856,282.39855107457646,277.78825540507665,280.16035075764074,284.9888512468163,276.4340129475017,283.51591933253917,281.7127034952352,280.2602511116,283.6495849832947,282.2493819352034,280.02085770268144,280.24725777762274,280.72030483148035,285.35748291015625,281.7796683398795,283.7448341453468,281.2022534045544,285.48956097613325,
307,273.79334736918355,283.70817862150864,276.98088459392164,280.55273113320595,283.05033354706813,277.2811331836295,279.70106534294155,281.8274257785671,275.5519711001889,275.56080040564905,279.9633321797018,277.9532693157266,278.4795173393501,280.6249426537818,277.11100517524466,275.55479157276636,282.73641710665635,278.58327956426706,278.50117833623085,283.1365069155291,278.6008525471111,279.3476019220038,284.50992402576264,278.95936422382954,281.4420428712726,278.6809575007512,281.4765976008041,284.4932181669242,280.25123858888503,283.13233796842803,279.21654580364293,281.3457748916123,277.59063340630723,276.6681555444067,280.96826831412403,282.2892233600546,283.16723073882497,278.7618072845124,277.5060868595109,273.6549096858545,283.0861563769889,278.4480536045172,280.0933850187085,278.42981247674845,279.9062752636361,278.39524220896294,277.4774626008757,274.4597060654189,283.8869920667711,278.4078410501445,277.35040093166924,281.6682495564332,280.7677023192465,283.8042130802141,278.6792790339543,281.99559641408393,277.7788948925423,280.20609884297016,283.83270151885876,283.0630765921903,280.0211435394846,280.34904027247165,281.4188950087998,285.06952742691874,282.53026058211,277.2419700762291,279.6015944707961,284.9876155643672,276.1434074653374,283.7449576688773,281.9756091889881,281.034662044092,283.0188268864111,283.3318387545072,279.8518900329813,280.8140215192522,280.73905123197113,285.2780013870407,282.1614538618933,283.3046403263078,281.3749571859618,284.61473972194796,
308,274.081558842362,283.2566555148952,276.34274370242383,280.3611348470052,282.2447461697645,277.25807284959507,279.39852916452037,281.74253850804143,275.4481519761976,275.2085618239182,280.2044064029232,277.9094764793312,278.2405858301854,280.2963727454999,278.1313261933379,275.549815530742,283.12733889848755,278.6863605652973,278.27855495131496,282.56457787817646,277.80845211713745,280.093011765253,284.94718502729364,278.5889230805002,280.9442984891898,279.85023817125256,281.421151521005,284.2793989356184,279.5108910864526,282.38654861170727,280.56446486253003,281.015140519474,276.9551741491744,276.8778595976777,280.7491745721726,282.1977885599101,283.10006836831786,278.0394066890954,277.3882997394045,273.2348196847098,281.74605920812587,277.2101535447788,279.77846798180656,278.76146834935895,279.6990766699934,278.05536089886675,277.29749250586656,274.25260550809867,283.06208069071226,277.2146713759872,277.82323581569796,281.74447240584936,281.8247457092061,283.256093454885,277.93393067300536,282.60401664985403,279.6785194480812,279.9188510769016,283.36482780931635,282.46449497767856,279.1076183947888,279.0555649083176,280.9768526964572,284.01524559831444,282.74365100231796,277.0753125760144,279.0556296324118,284.950211745042,276.47712847252035,283.66818293197684,282.2885249211238,281.19614754142344,282.72970189803686,284.2561657804272,280.1289646022922,280.5278868063902,280.96830073206417,285.3526047926683,282.5815235179859,282.56913796449317,281.387220892714,283.85947292453636,
309,274.8050519223615,282.84365129296157,276.0280525850289,280.3093532240871,281.56105158879205,276.8809614356184,278.8570815984146,281.4095985496437,275.2648691030649,274.8224191071786,280.5396095806862,277.48825811029786,277.96157926342863,279.9878355592162,279.03719153771027,275.4984940190018,283.32196726816477,278.8601494534111,278.01671815529846,281.98673446711166,277.5147132733802,280.74210276621164,284.9909281189188,278.02917748755146,280.3403091151199,280.71839608552256,281.5172567402487,283.6035889566163,279.1102559854696,281.5947763072702,281.6736665942293,280.8799513373183,276.7890091780778,277.0155635176998,280.6332301324977,282.3890698331616,282.8310179099058,277.53416426103195,277.98734068259216,273.3118813762734,280.1765000339829,276.8411112914592,279.6452921773051,279.14847383045014,279.14471424368276,277.81996070945655,277.381841862158,274.10396981151985,281.989996047247,276.50547091864837,278.4082556644202,281.96480138310585,282.3631313449734,282.820563235999,276.9556955190805,282.9772014687786,281.0612449785728,279.10175846085883,282.72115418151185,282.2606508583376,279.0607653048449,277.83421644273693,279.75133483663143,282.6899668934581,282.878181988503,277.1038374568953,279.1825733673878,284.7362130972055,276.8420054676768,283.2628747290307,282.6124090956244,281.20563157748825,282.92233611725186,284.7585194346669,280.96908312228135,279.9647418011675,281.10490657820367,285.3791048937228,282.83895493951036,282.0778390514108,281.0663638831058,283.09933706430286,
