Day_of_year,t2m
212,293.18301302918
213,293.06177464672635
214,293.23215577215217
215,293.4308607574202
216,292.9008361294739
217,292.67305402185156
218,292.7627227783202
219,292.75890870705626
220,292.6468453692575
221,292.5322955791767
222,292.4869751237396
223,292.37276684361643
224,292.3451202392578
225,292.33362627599985
226,292.48297142615684
227,292.876500630175
228,293.05166286892364
229,292.67935112847226
230,292.06427387987446
231,291.8324647300264
232,292.1587444859692
233,291.7740798819779
234,291.3972300994091
235,291.1574315780248
236,290.8708615034055
237,290.33033679407896
238,290.1757820846688
239,290.35008250179453
240,289.557417440822
241,289.5491100865551
242,289.59113871256505
243,289.5602444901426
244,289.4752337333483
245,289.2862832354685
246,289.3113189697266
247,288.8366009051984
248,288.89067854922035
249,288.907650104751
250,288.573479285607
251,288.6687517475878
252,288.5033686450404
253,288.43777139777814
254,288.46765274960774
255,288.7581116244325
256,288.35117662217885
257,287.6344131339309
258,287.8083945510734
259,287.95602542192506
260,287.3072929708366
261,287.4963030953693
262,287.45302168365225
263,287.6989528558193
264,287.8001845661391
265,287.99857610718817
266,287.8922203911676
267,287.34043970352565
268,286.69103912614355
269,287.02774426060864
270,286.6427842360276
271,286.09540014022434
272,286.127484104776
273,286.20599500868053
274,285.9810309255225
275,285.51746706188237
276,285.133271385258
277,284.77749159071186
278,284.57522627349596
279,284.94442895090486
280,285.2344297490568
281,284.7591198782636
282,284.06270368527146
283,284.15232679579
284,284.35996258075414
285,284.47743118155717
286,284.1045204619057
287,283.8446007622613
288,283.8805134830311
289,283.66732375968223
290,283.1158941546057
291,282.3162128676716
292,281.7356488350111
293,281.7480853219317
294,281.10621906508754
295,280.7966387365617
296,280.9828007363866
297,280.95537899702026
298,280.89002581213276
299,280.4873568543002
300,279.84597118410295
301,280.2230329464644
302,280.5553471491887
303,280.02606968023844
304,280.2506051609659
305,279.6908941024389
306,279.716492690388
307,280.126906122713
308,279.6671497051533
309,279.28837280273444
310,279.60426043649005
311,279.0622491559412
312,278.90312841692537
313,279.1743354992988
314,278.9777045877571
315,278.4433563232422
316,277.8939910367004
317,278.08130467080656
318,277.90008756197415
319,277.49975930238384
320,277.64588077903824
321,277.3045073158721
322,276.45019494733236
323,275.739219026484
324,275.43111736591044
325,275.54995161529285
326,275.75658926678517
327,275.1236528445513
328,275.44944207607176
329,275.6037659213074
330,275.4373348659939
331,275.3283035408737
332,274.76335141434623
333,274.5736173450437
334,274.4056207901392
335,274.20586435692945
336,273.90588376297904
337,274.1082816099509
338,273.9177712464943
339,273.8487237653162
340,273.67805293156545
341,273.9434529100727
342,274.1613362891042
343,274.1887765476846
344,274.0011276636368
345,273.98062011197084
346,273.4538237742889
347,273.27841656024634
348,273.9491382305439
349,273.7772781241654
350,273.72526490301146
351,273.9543073866103
352,273.9717380882329
353,274.2029222798144
354,274.0452452048277
355,273.94478256356
356,273.59261258117147
357,273.34782819177354
358,273.0953084049062
359,273.30758009690504
360,273.1024108886719
361,272.6172661414513
362,273.05340550088476
363,272.9610306699052
364,272.21982030624
365,272.06432815943003
