year,total,fuel_combustion_activities.total,fuel_combustion_activities.energy_industries,fuel_combustion_activities.manufacturing_construction,fuel_combustion_activities.transport,fuel_combustion_activities.other_sectors,fuel_combustion_activities.other,fugitive_emissions_from_fuels.total,fugitive_emissions_from_fuels.solid_fuels,fugitive_emissions_from_fuels.oil_natural_gas_and_energy_production,co2_transport_storage
2000,14831.3956957189,14359.1228628717,5595.42031063844,2295.55468689759,3684.37916986065,2780.69188346677,3.0768120082,472.272832847273,424.32316127432,47.9496715729523,
2001,16055.3152993733,15588.7454235132,6313.23004454408,2214.56811296555,3846.15551069577,3211.5265670542,3.2651882536,466.569875860107,417.604963643838,48.9649122162687,
2002,16268.5504758979,15758.5354643606,6566.04436090616,2246.2518525196,3908.39415245238,3034.57991022885,3.2651882536,510.015011537258,462.895945662696,47.1190658745621,
2003,15947.0883872735,15408.6387481971,6292.67601936795,2176.57787983005,3958.07238100003,2978.04727974545,3.2651882536,538.449639076449,486.647528696823,51.8021103796261,
2004,16347.3821123955,15808.7610446987,6424.99650213582,2327.50945567203,4136.65120728838,2916.18171114436,3.4221684581,538.621067696811,487.418062925952,51.2030047708593,
2005,16552.0079949193,16025.6989372799,6452.05426430995,2463.2073023173,4405.90764165388,2701.2017486634,3.3279803354,526.309057639324,473.54362388571,52.765433753614,
2006,16742.4420166171,16204.8790652588,6508.48760914868,2602.89097599622,4642.09311949969,2448.07938027883,3.3279803354,537.562951358286,486.460688710586,51.1022626477009,
2007,16915.8288728869,16370.9130636202,6729.78886447537,2365.1220559675,5245.2416303859,2027.2755522515,3.4849605399,544.915809266748,493.021406188587,51.8944030781617,
2008,17920.5899487676,17393.5144355557,6503.0538256994,2337.27706390652,6165.07407577622,2384.55384028519,3.55562988836181,527.075513211948,477.612590842603,49.4629223693445,
2009,16133.2315649372,15613.9430788348,6219.37400291763,1959.21369523038,5162.6749394767,2269.33893083873,3.34151037131653,519.288486102471,472.967774459871,46.3207116425998,
2010,16406.8440385758,15885.0739298454,6349.46536618743,1933.78484284658,5303.46808882347,2295.46471869946,2.89091328843399,521.770108730469,473.638514368918,48.1315943615513,
2011,16327.5687414909,15796.1654236582,6368.82994788464,1733.26155364125,5654.28125980525,2036.42146422305,3.37119810402634,531.403317832681,490.781714582534,40.6216032501479,
2012,15705.7384875829,15188.133662857,6061.4643259917,1664.8869530665,5673.21244475753,1785.1905145598,3.37942448147673,517.604824725836,478.980027318132,38.6247974077043,
2013,14980.6021163439,14521.7355210152,5781.33899567369,1662.08121650959,5372.4611194838,1702.83852616748,3.01566318061363,458.866595328682,421.471012392244,37.3955829364388,
2014,13284.9520629433,12925.984198473,4454.22004904013,1670.69741814847,5388.83748822493,1408.47529343095,3.75394962850351,358.967864470366,325.438028022363,33.5298364480032,
2015,13434.9186547892,13064.5006914237,4567.8475528572,1613.50127351723,5359.29208359551,1520.15860893855,3.70117251516194,370.417963365565,334.83690494735,35.5810584182151,
2016,14284.0806759962,13887.0047658975,4937.01084762165,1624.84758556882,5732.97514467672,1588.53343237819,3.63775565214803,397.075910098664,359.270383369155,37.8055267295088,
2017,14353.1404282113,13944.7168033454,4923.0979539273,1699.45582045534,5862.7767981837,1455.2469422112,4.13928856790099,408.42362486585,368.563103044163,39.8605218216873,
2018,14193.0009215329,13803.2892147919,4808.1556234228,1797.79028134895,5841.65292458447,1351.77794582171,3.91243961398213,389.711706741018,350.643060708025,39.0686460329932,
2019,13691.7131713971,13313.4197502886,4581.65395449654,1756.95853192334,5631.5250287576,1339.27159496042,4.01064015070915,378.293421108531,339.03416485809,39.2592562504406,
2020,12538.3190266844,12157.6665969533,4516.77225248858,1714.65236084319,4581.05199076347,1342.01506822204,3.1749246360125,380.65242973107,341.414497985236,39.237931745834,
