year,total_source,energy_industries,manufacturing_construction_fuels,transport,industrial_processes,residential_commercial_agricultural_forestry_fishing_fuels,agriculture,waste,international_aviation,international_navigation,co2_emissions_from_biomass,others,lulucf
1996,19463.6160820833,5326.83624976596,2521.3697976557,4530.06041075233,1057.84246143364,2991.69376762974,1793.79137457555,728.730026442921,53.2314240472,,2615.69201462656,513.291993827511,-5709.28029293495
1997,20003.9439458831,5746.74418713382,2300.39965786484,4737.73791826305,1097.03828389876,3057.76115301118,1743.34140771284,771.722861799986,56.07336100576,,2713.25831028084,549.198476198604,-5920.83919196174
1998,19600.9288834434,5986.06600553199,2281.47925824173,3939.89723679477,1075.21102539219,3180.24636903439,1783.30963831627,807.099454991063,50.110312266,,2774.77640841607,547.619895141006,-6064.37903165527
1999,18985.9210376151,5287.45014230886,2296.36249542237,3729.68967207635,1099.29115034498,3418.63125655327,1799.0075500713,831.595698443848,60.0853227828,,2525.28310648455,523.893072394172,-6101.29714150123
2000,18769.3808074452,5592.95776023007,2293.43872881248,3676.07914343527,1141.12358439348,2793.32266761051,1892.158924255,862.39176506222,69.2918183384,,2575.59001748346,517.908233646146,-6200.75365507969
2001,20040.5694995935,6310.54324161568,2212.70851909748,3837.12704662769,1196.90447492802,3227.03910544102,1867.71026400552,878.908770800446,78.456437670604,,3193.6323861394,509.62807707764,-6249.07408585634
2002,20318.614670689,6563.20256792116,2244.52762678363,3904.16835232148,1203.84342503144,3045.77489064954,1928.00191038325,871.872907886489,80.8828432948368,,2679.87873769314,557.222989712021,-7365.65032312566
2003,19987.8277063611,6289.98732502724,2174.92920700854,3953.66642459654,1271.40273019553,2990.17172118135,1832.83021659404,887.530499418648,77.10949757126,,2941.74711609345,587.309582339254,-7059.53405755061
2004,20386.4431347383,6422.23898813851,2325.43809066964,4132.13721129144,1321.81867324645,2927.65133187209,1781.47380977406,888.332688754631,57.682066711276,,2721.69225980927,587.352340991521,-7185.23440734168
2005,20643.2916082371,6449.28389773346,2461.1034796637,4401.33848671949,1394.63156435694,2715.9802183117,1798.73480161636,849.294628799374,61.3509602728406,68.75088,3314.75367220409,572.924531036117,-7224.48691831897
2006,20833.6734644392,6505.65364948456,2599.94864496337,4637.34693901283,1438.83624719657,2460.54310072576,1797.92793830388,809.616871660855,71.0364225834222,94.19183064,2921.12901962348,583.800073091341,-7241.73439171068
2007,21020.4102703912,6726.89865205967,2362.81437553535,5239.94718161516,1448.78054091858,2042.45719688782,1858.88566503415,749.256408038701,93.5787575057972,158.56296708,3228.11752198329,591.370250301763,-7555.89215128137
2008,21743.2926912639,6500.17837585168,2334.85686114773,6159.07967847829,1322.27263132632,2399.02889704428,1781.55234789533,673.04739227376,103.951610965634,213.841509107766,3420.92206566185,573.276507246503,-7304.72041933706
2009,19566.5981915863,6216.70316469143,1957.24168400347,5158.76443296533,985.614121512718,2283.46555858532,1790.48290787505,610.186483036719,77.9085461023878,105.198729651504,3183.1761968311,564.13983891631,-7239.12120597921
2010,19797.9274142154,6346.73089455692,1932.30353312964,5299.21936848212,986.402123248814,2309.47207820579,1758.2892057669,599.131169757031,73.3038083466018,60.015676315824,3308.00987616038,566.379041068193,-7166.77410603539
2011,19716.0110307589,6366.05344816898,1732.01861936165,5649.47696939087,997.36350585477,2048.78903712161,1740.60676652786,605.556934247039,68.7974310954622,105.80760432,3259.36251092859,576.145750086073,-7067.69641105754
2012,19083.1375532001,6058.81807131121,1662.535124669,5668.06012558339,1023.62482200217,1796.19068025566,1724.58230018307,589.020372729792,66.3277847416778,163.729989404539,3191.75280353769,560.306056465769,-7006.86537319538
2013,18382.0045781324,5778.78136425101,1655.58604208081,5367.27052884678,1090.76322965581,1715.10502332261,1709.19360561529,566.926262673428,73.0693265899503,201.99633552,3347.52375317122,498.378521686624,-5307.3284190619
2014,16726.1233339919,4452.25535893107,1662.39421639694,5383.26364775158,1127.97109187788,1417.57733692518,1756.00727032862,534.133712677646,72.1072368256049,186.166495106886,2938.41841582227,392.520699103041,709.025579139025
2015,16912.4653996892,4565.79020248738,1604.69141699807,5353.64888436356,1107.87076432244,1533.93380055196,1799.50208943403,542.488174076525,74.7199806651648,208.4089176,3225.39054802301,404.54006745521,808.440884961383
2016,17790.0267666825,4934.79938778867,1617.72391891404,5726.81818475228,1114.39872948934,1603.58226477029,1822.16636617514,537.757998267178,61.050828517728,400.15474066512,3210.38360573349,432.779916525578,956.734577746838
2017,17870.4277662858,4920.88561327453,1693.19397020048,5856.28453071607,1171.84886605139,1471.29166650244,1787.84241268329,524.210433852657,74.2428269781324,504.3656120472,3146.27651875864,444.870273004979,949.470036253577
2018,17689.1306521869,4805.99670002458,1790.05075240842,5835.00611666782,1195.04630857284,1367.12894841919,1787.57530614183,483.654899206864,102.20117855409,733.9296364776,3025.18241706303,424.671620745408,1046.22859054751
2019,17204.8266018077,4579.59922019824,1747.24468913776,5624.99727978362,1204.54973524658,1353.72015242035,1807.85042076581,474.042176595176,77.8290565610337,618.97835740464,2988.24179689971,412.822927660177,-3344.82047255966
2020,15974.7834883883,4514.7666751166,1702.64938585201,4575.48795380118,1148.8415302014,1354.4347572848,1812.99433096783,451.118114984506,26.1575328141198,381.90217209912,2933.15209021125,414.490740180007,-3142.73004050202
2021,16106.477227292,4198.3720803042,1732.55503505843,5205.45691463758,1111.13548774561,1253.43304470385,1813.4704783226,428.770439373819,26.7781478552358,282.84982465104,3221.57477212426,363.283747145867,-3105.75923631575
